* Categories *,* Colour *,* ID *
Scaffolding,https://www.youtube.com/embed/Ps-5FlUKTss&index=9&list=PLLPZVmpSEVzwf6kgA4UFsdglBi3fSx0H_,5
School Principal,https://www.youtube.com/embed/U4U6-4EUAPE,1
Secondary School Teacher,https://www.youtube.com/embed/F-Bf-ffu6v8,1
Security,https://www.youtube.com/embed/ydKyMNsDq6E&list=PLLPZVmpSEVzwf6kgA4UFsdglBi3fSx0H_&index=12,2
Sheep and Beef Farming,https://www.youtube.com/embed/Yp6O2xhi_pA,3
Sheep and Beef Farming,https://www.youtube.com/embed/wDexL9m8k5o,3
Skycity - Restaurant Manager,https://www.youtube.com/embed/CPzAgd5-Nbo,2
Skycity - Table Games Dealer,https://www.youtube.com/embed/7H4aHZgqvEw,2
Solid Plastering,https://www.youtube.com/embed/v3qwRwOIwDw&index=6&list=PLLPZVmpSEVzyn3c2uKNED9ePovcVyvTF0,"4,5"
Sports Leisure Centre Management ,https://www.youtube.com/embed/MTX-hoA_RBw,2
Sports Turf Management - Cricket,https://www.youtube.com/embed/ai7JQIR5qxk,"2,3"
Sports Turf Management - WestPac,https://www.youtube.com/embed/U587FCSbaqE,"2,3"
Store Manager Warehouse Stationery,https://www.youtube.com/embed/uoppSm6Z4b4,2
Surveying,https://www.youtube.com/embed/HC-WSsRawnE&list=PLLPZVmpSEVzyNxeeQJYFYvK_5KA0lAxh9&index=2,5
Telecommunications,https://www.youtube.com/embed/iaxx3Cg2Kbs&index=14&list=PLLPZVmpSEVzwf6kgA4UFsdglBi3fSx0H_,"2,6"
The Warehouse - Team Leader,https://www.youtube.com/embed/oAOAYbMBk_k,2
Timber Flooring,https://www.youtube.com/embed/tBrm-tEV1nU&list=PLLPZVmpSEVzx3xYkTLTMokawHE6x-6tBC&index=10,"4,5"
Timber Flooring,https://www.youtube.com/embed/Pvn6Ow64SjQ&list=PLLPZVmpSEVzyn3c2uKNED9ePovcVyvTF0&index=4,"4,5"
Tourism,https://www.youtube.com/embed/2MTovH5I_PE&list=PLLPZVmpSEVzyCXuNJWgaav5IN2-cakLbD,2
Tourism - Maori Tourism,https://www.youtube.com/embed/0Ce2xbS2sxA&list=PLLPZVmpSEVzyCXuNJWgaav5IN2-cakLbD&index=15,2
Tourism - Rotorua,https://www.youtube.com/embed/2MTovH5I_PE,2
