* Categories *,* Colour *,* ID *
"RNZAF Pilot",https://www.youtube.com/embed/C48Lr07wyrs,4
"RNZAF Safety and Surface Technician",https://www.youtube.com/embed/y2UXNd5eW5g,3
"RNZAF Safety and Surface Technician",https://www.youtube.com/embed/y2UXNd5eW5g,4
"Road Construction",https://www.youtube.com/embed/f8a95Nkg2fA,7
"Road Construction",https://www.youtube.com/embed/f8a95Nkg2fA,8
"Roadmarking",https://www.youtube.com/embed/C8Z2qOAEGGk,7
"Roofer ",https://www.youtube.com/embed/1nnBxjEFlIw,7
"Roofing",https://www.youtube.com/embed/QpN3_BMl7K8,7
"Roofing",https://www.youtube.com/embed/GE0k2HAPGGg,7
"Rural Contracting",https://www.youtube.com/embed/zlKzxsKxcTM,4
"Rural Contracting",https://www.youtube.com/embed/zlKzxsKxcTM,5
"Rural Contracting",https://www.youtube.com/embed/zlKzxsKxcTM,4
"Rural Contracting",https://www.youtube.com/embed/zlKzxsKxcTM,5
"Rural Servicing",https://www.youtube.com/embed/FAwU8j0RgYM,4
"Rural Servicing",https://www.youtube.com/embed/FAwU8j0RgYM,5
"Salmon Farming",https://www.youtube.com/embed/hh-4onzMvfU,5
"Saw Mill",https://www.youtube.com/embed/TCaqBBR63sU,5
"Saw Mill",https://www.youtube.com/embed/TCaqBBR63sU,8
"Scaffolder ",https://www.youtube.com/embed/nr0jvM9-YUc,7
"Scaffolding",https://www.youtube.com/embed/Ps-5FlUKTss,7
"School Principal",https://www.youtube.com/embed/U4U6-4EUAPE,3
"Secondary School Teacher",https://www.youtube.com/embed/F-Bf-ffu6v8,3
"Security",https://www.youtube.com/embed/ydKyMNsDq6E,4
"Sheep and Beef Farming",https://www.youtube.com/embed/Yp6O2xhi_pA,5
"Sheep and Beef Farming",https://www.youtube.com/embed/wDexL9m8k5o,5
"Skycity - Restaurant Manager",https://www.youtube.com/embed/CPzAgd5-Nbo,4
"Skycity - Table Games Dealer",https://www.youtube.com/embed/7H4aHZgqvEw,4
"Sports Leisure Centre Management ",https://www.youtube.com/embed/MTX-hoA_RBw,4
"Sports Turf Management - Cricket",https://www.youtube.com/embed/ai7JQIR5qxk,4
"Sports Turf Management - Cricket",https://www.youtube.com/embed/ai7JQIR5qxk,5
"Sports Turf Management - WestPac",https://www.youtube.com/embed/U587FCSbaqE,4
"Sports Turf Management - WestPac",https://www.youtube.com/embed/U587FCSbaqE,5
"Store Manager Warehouse Stationery",https://www.youtube.com/embed/uoppSm6Z4b4,4
"Surveying",https://www.youtube.com/embed/HC-WSsRawnE,7
"Telecommunications",https://www.youtube.com/embed/iaxx3Cg2Kbs,4
"Telecommunications",https://www.youtube.com/embed/iaxx3Cg2Kbs,8
"The Warehouse - Team Leader",https://www.youtube.com/embed/oAOAYbMBk_k,4
"Timber Flooring",https://www.youtube.com/embed/tBrm-tEV1nU,6
"Timber Flooring",https://www.youtube.com/embed/tBrm-tEV1nU,7
"Tourism",https://www.youtube.com/embed/2MTovH5I_PE,4
"Tourism - Maori Tourism",https://www.youtube.com/embed/0Ce2xbS2sxA,4
"Tourism - Rotorua",https://www.youtube.com/embed/2MTovH5I_PE,4
"Train Driver",https://www.youtube.com/embed/qKWPX6CKPYQ,4
"Travel Agency Consultant",https://www.youtube.com/embed/RmJr-EyLLGw,4
"Treescape - Arborist",https://www.youtube.com/embed/9tIWnH3vEPs,4
